code,time,price,vol,type,order_type,order_no
000584,91500060,6.98,22,2,2,1695
000584,91500100,6.99,48,2,2,3256
000584,91500100,6.91,8,2,2,3423
000584,91500120,6.85,46,2,2,4106
000584,91500120,5.74,4,2,1,4207
000584,91500150,6.99,40,2,2,5192
000584,91500150,6.98,9,2,2,5360
000584,91500170,6.49,25,2,2,5935
000584,91500170,6.59,25,2,2,5937
000584,91500170,6.26,30,2,1,5938
000584,91500180,6.98,269,2,2,6154
000584,91500180,6.55,100,2,2,6523
000584,91500180,6.6,100,2,2,6524
000584,91500180,6.2,100,2,1,6525
000584,91500180,6.17,100,2,1,6526
000584,91500210,6.49,84,2,2,7439
000584,91500230,6.36,2,2,1,8693
000584,91500240,6.77,20,2,2,8769
000584,91500240,6.99,58,2,2,9151
000584,91500260,6.97,6,2,2,9868
000584,91500260,6.73,4,2,2,9871
000584,91500380,6.88,3,2,2,12777
000584,91500460,6.22,5,2,1,14835
000584,91500500,6.91,100,2,2,16247
000584,91500540,6.11,406,2,1,17690
000584,91500650,6.35,2,2,2,21819
000584,91500690,6.99,1,2,2,23105
000584,91500730,6.91,13,2,2,24332
000584,91500840,6.49,7,2,2,27884
000584,91500940,6.75,5,2,2,30102
000584,91500950,6.99,50,2,2,30282
000584,91501120,6.7,8,2,2,33719
000584,91501120,6.98,8,2,2,33722
000584,91501130,6.0,8,2,1,33786
000584,91501450,6.6,4,2,2,41123
000584,91501710,6.26,100,2,1,46796
000584,91501710,6.29,80,2,1,46799
000584,91501710,6.26,70,2,1,46801
000584,91502190,6.99,4,2,2,53674
000584,91502370,6.77,1,2,2,56073
000584,91502490,6.05,3,2,1,57619
000584,91502490,6.2,3,2,1,57620
000584,91502490,6.25,3,2,1,57621
000584,91502610,6.35,12,2,2,59197
000584,91502710,6.99,1,2,2,60194
000584,91502780,6.35,10,2,2,60897
000584,91502900,6.99,15,2,2,62011
000584,91502910,5.8,12,2,1,62102
000584,91503140,6.54,6,2,2,64401
000584,91503210,6.06,5,2,1,65082
000584,91503760,6.99,10,2,2,69131
000584,91503760,6.95,10,2,2,69132
000584,91503760,6.91,10,2,2,69133
000584,91503760,6.87,10,2,2,69134
000584,91503760,6.83,10,2,2,69135
000584,91503760,6.79,10,2,2,69136
000584,91503760,6.75,10,2,2,69137
000584,91503760,6.71,10,2,2,69138
000584,91503760,6.67,10,2,2,69139
000584,91503760,6.63,10,2,2,69140
000584,91503760,6.59,10,2,2,69141
000584,91503760,6.55,10,2,2,69142
000584,91503760,6.51,10,2,2,69143
000584,91503760,6.47,10,2,2,69144
000584,91503760,6.43,10,2,2,69145
000584,91503760,6.4,10,2,2,69146
000584,91503760,6.1,40,2,1,69148
000584,91503760,6.08,50,2,1,69149
000584,91503760,6.28,30,2,1,69150
000584,91504210,6.98,85,2,2,72006
000584,91504520,6.7,5,2,2,73934
000584,91504790,6.02,20,2,1,75540
000584,91505500,6.6,5,2,2,78832
000584,91505630,6.95,10,2,2,79449
000584,91506590,6.17,10,2,1,83143
000584,91506590,6.08,10,2,1,83144
000584,91506590,6.04,10,2,1,83146
000584,91506590,6.01,20,2,1,83152
000584,91506590,5.98,20,2,1,83154
000584,91507060,6.75,5,2,2,84912
000584,91507220,6.63,20,2,2,85215
000584,91507220,6.88,20,2,2,85216
000584,91507270,6.13,20,2,1,85339
000584,91511310,6.7,20,2,2,91318
000584,91511760,6.8,28,2,2,91822
000584,91518260,5.72,1,2,1,93147
000584,91711110,6.86,37,2,2,100536
000584,91720580,6.35,1,2,2,101369
000584,91720830,6.16,50,2,1,101395
000584,91733510,6.5,13,2,2,102540
000584,91738560,6.99,10,2,2,102994
000584,91749650,6.4,200,2,2,104000
000584,91753710,6.99,4,2,2,104370
000584,91800980,6.0,100,2,1,105048
000584,91806170,6.99,70,2,2,105630
000584,91830630,6.42,10,2,2,107904
000584,91930540,5.75,10,2,1,114112
000584,91935890,6.06,50,2,1,114658
000584,91955420,6.9,10,2,2,116690
000584,92009670,6.44,6,2,2,118177
000584,92035360,6.46,50,2,2,120741
000584,92043510,6.47,3,2,2,121550
000584,92048490,6.98,100,2,2,122086
000584,92051430,6.68,58,2,2,122395
000584,92102980,6.2,38,2,1,123673
000584,92104110,6.78,50,2,2,123782
000584,92113650,6.88,50,2,2,124766
000584,92114780,6.32,100,2,1,124880
000584,92115810,6.89,3,2,2,124991
000584,92116020,6.23,10,2,1,125007
000584,92116060,6.98,7,2,2,125012
000584,92117900,6.25,10,2,1,125219
000584,92122110,6.5,12,2,2,125660
000584,92134520,6.22,10,2,1,127021
000584,92139610,6.28,32,2,1,127559
000584,92150780,6.21,20,2,1,128761
000584,92202890,6.41,27,2,2,130259
000584,92233520,6.99,15,2,2,134179
000584,92235070,6.33,70,2,1,134374
000584,92236220,6.35,118,2,1,134550
000584,92246240,6.38,10,2,2,135959
000584,92256920,6.21,5,2,1,137513
000584,92303200,6.45,19,2,2,138461
000584,92312510,6.49,50,2,2,139816
000584,92314370,6.21,4,2,1,140073
000584,92320020,6.65,100,2,2,140923
000584,92322500,6.11,10,2,1,141321
000584,92325660,6.42,9,2,1,141786
000584,92325720,6.3,5,2,1,141794
000584,92326390,6.99,200,2,2,141924
000584,92338470,6.21,28,2,1,143989
000584,92401590,6.16,2,2,2,147918
000584,92409340,6.75,30,2,2,149482
000584,92421330,6.36,300,2,1,152274
000584,92431940,6.55,1,2,1,154966
000584,92437680,6.37,30,2,1,156469
000584,92438350,6.33,200,2,1,156673
000584,92440600,6.86,3,2,2,157335
000584,92444590,6.35,79,2,2,158571
000584,92451510,6.17,1,2,2,160607
000584,92452300,6.3,200,2,1,160833
000584,92453320,6.33,21,2,1,161141
000584,92459050,6.39,63,2,1,163667
000584,93000110,6.8,10,2,2,189021
000584,93000190,6.37,1,2,1,194443
000584,93000300,6.39,20,2,2,200129
000584,93000460,6.4,78,2,1,206297
000584,93000470,5.73,7,2,1,206572
000584,93000600,6.4,5,2,2,211527
000584,93000690,6.1,10,2,1,214870
000584,93000740,6.32,20,2,1,216030
000584,93001020,6.99,30,2,2,225971
000584,93001080,6.37,14,2,2,227556
000584,93001120,6.49,15,2,2,228514
000584,93001160,6.3,20,2,1,229686
