code,time,buy_no,sell_no,price,vol,amount
000584,91519500,93147,0,0.0,1,0
000584,91534070,0,21819,0.0,2,0
000584,91801590,105048,0,0.0,100,0
000584,92500000,154966,147918,6.36,1,636
000584,92500000,141786,147918,6.36,1,636
000584,92500000,141786,160607,6.36,1,636
000584,92500000,141786,59197,6.36,7,4452
000584,92500000,163667,59197,6.36,5,3180
000584,92500000,163667,60897,6.36,10,6360
000584,92500000,163667,101369,6.36,1,636
000584,92500000,163667,158571,6.36,47,29892
000584,92500000,156469,158571,6.36,30,19080
000584,92500000,8693,158571,6.36,2,1272
000584,93000460,206297,135959,6.38,10,6380
000584,93000460,206297,200129,6.39,20,12780
000584,93000460,206297,69146,6.4,10,6400
000584,93000460,206297,104000,6.4,38,24320
000584,93001080,194443,227556,6.37,1,637
000584,93001240,152274,231500,6.36,10,6360
000584,93001390,236276,227556,6.37,1,637
000584,93001920,247863,227556,6.37,12,7644
000584,93004320,247863,278511,6.38,2,1276
000584,93004660,280782,238771,6.39,76,48564
000584,93004660,280782,104000,6.4,134,85760
000584,93012000,247863,310230,6.38,2,1276
000584,93017370,247863,319009,6.38,13,8294
000584,93017370,258726,319009,6.38,1,638
000584,93018450,320842,211527,6.4,5,3200
000584,93018450,320842,286469,6.4,5,3200
000584,93019080,320842,322131,6.4,20,12800
000584,93020940,320842,324718,6.4,2,1280
000584,93024080,329962,130259,6.41,1,641
000584,93024350,320842,330429,6.4,65,41600
000584,93035270,320842,349075,6.4,100,64000
000584,93035270,322478,349075,6.4,10,6400
000584,93035270,325358,349075,6.4,2,1280
000584,93035270,325363,349075,6.4,1,640
000584,93035270,342802,349075,6.39,30,19170
000584,93035270,343627,349075,6.39,22,14058
000584,93035560,349488,349075,6.39,12,7668
000584,93039900,357467,349075,6.39,56,35784
000584,93047640,271455,371308,6.38,9,5742
000584,93047640,277280,371308,6.38,2,1276
000584,93052930,381129,349075,6.39,10,6390
000584,93055640,277280,385801,6.38,1,638
000584,93055640,372261,385801,6.38,2,1276
000584,93102620,397744,385801,6.38,17,10846
000584,93102620,397744,390756,6.38,7,4466
000584,93102620,397744,395186,6.38,18,11484
000584,93102620,397744,349075,6.39,108,69012
000584,93104510,401535,400902,6.38,1,638
000584,93104960,401535,402228,6.38,1,638
000584,93106980,401535,405904,6.38,40,25520
000584,93110930,412973,349075,6.39,51,32589
000584,93128780,401535,447002,6.38,30,19140
000584,93132070,401535,453293,6.38,6,3828
000584,93132070,420701,453293,6.38,1,638
000584,93136690,462831,453293,6.38,7,4466
000584,93141300,471723,453293,6.38,8,5104
000584,93142180,419188,473136,6.37,6,3822
000584,93144290,477676,453293,6.38,1,638
000584,93144310,477708,453293,6.38,2,1276
000584,93144360,477771,453293,6.38,1,638
000584,93148220,484813,453293,6.38,1,638
000584,93148220,484842,453293,6.38,2,1276
000584,93153260,419188,494849,6.37,4,2548
000584,93153260,467455,494849,6.37,2,1274
000584,93153260,467544,494849,6.37,2,1274
000584,93153260,479285,494849,6.37,1,637
000584,93153260,152274,494849,6.36,11,6996
000584,93154170,496272,453293,6.38,2,1276
000584,93154170,496274,453293,6.38,2,1276
000584,93154170,496276,453293,6.38,1,638
000584,93154170,496278,453293,6.38,4,2552
000584,93154220,496365,453293,6.38,5,3190
000584,93154230,496389,453293,6.38,2,1276
000584,93156940,496245,501772,6.37,1,637
000584,93157100,502062,453293,6.38,2,1276
000584,93157100,502064,453293,6.38,1,638
000584,93157100,502066,453293,6.38,1,638
000584,93157100,502068,453293,6.38,1,638
000584,93157210,502248,453293,6.38,4,2552
000584,93157210,502250,453293,6.38,1,638
000584,93157210,502250,454376,6.38,1,638
000584,93158870,505307,454376,6.38,19,12122
000584,93158870,505307,460666,6.38,1,638
000584,93158870,505307,461801,6.38,6,3828
000584,93158870,505307,481308,6.38,6,3828
000584,93200810,505307,509619,6.38,11,7018
000584,93205260,518453,349075,6.39,1,639
000584,93206280,520456,349075,6.39,37,23643
000584,93211420,531073,349075,6.39,77,49203
000584,93211420,531073,388112,6.39,30,19170
000584,93211420,531073,451740,6.39,1,639
000584,93211420,531073,525506,6.39,10,6390
000584,93213090,531073,534631,6.39,13,8307
000584,93230020,531073,566499,6.39,5,3195
000584,93230020,532807,566499,6.39,1,639
000584,93230020,532811,566499,6.39,1,639
000584,93230020,538649,566499,6.39,1,639
000584,93232340,508700,570770,6.38,1,638
000584,93232340,508705,570770,6.38,5,3190
000584,93232340,527936,570770,6.38,1,638
000584,93232340,527980,570770,6.38,1,638
000584,93232340,528018,570770,6.38,1,638
000584,93232340,528136,570770,6.38,1,638
000584,93233170,572273,566499,6.39,1,639
000584,93233170,572275,566499,6.39,1,639
000584,93236330,572277,578383,6.39,1,639
000584,93236330,572278,578383,6.39,1,639
000584,93238760,583120,487006,6.4,1,640
000584,93238760,583120,542674,6.4,7,4480
000584,93255390,613826,542674,6.4,2,1280
000584,93303660,629528,542674,6.4,8,5120
000584,93308770,639248,542674,6.4,2,1280
000584,93308770,639248,585278,6.4,10,6400
000584,93308800,639277,588596,6.4,10,6400
